class,jarak_wrist,jarak_elbow,elbow_to_wrist_ratio
1,0.1608526822951953,0.08913969982250405,0.5541698064998116
1,0.16199511341704598,0.09180262859452988,0.5666999865495321
1,0.16308068218477087,0.0960973018552349,0.589262324438626
1,0.163695217560315,0.09846882399429177,0.6015375736802453
1,0.16380165328761642,0.09836280545117315,0.6004994667450617
1,0.16362641775015718,0.09834985958729678,0.6010634525866609
1,0.16345215066436686,0.09831737585981602,0.601505550463519
1,0.1637226895539521,0.10016054756334188,0.6117694977783493
1,0.16398105562454218,0.09996688446646912,0.6096245940467504
1,0.16413825906729154,0.10092063024703413,0.6148513504438952
1,0.1646143035362157,0.10162634625065538,0.6173603633920988
1,0.16482694896785668,0.10198988991842149,0.6187695067892739
1,0.16497760317070365,0.10250914052763492,0.6213518596313216
1,0.16523477712859558,0.102489181540681,0.6202639863212197
1,0.16505288361886053,0.10181511414812783,0.6168635889042623
1,0.1649875414753078,0.10098794729139286,0.6120943823295095
1,0.16329240300209108,0.09980941494324107,0.6112312214669469
1,0.15957885806761637,0.09809728382447133,0.6147260671768048
1,0.15810482538506895,0.09691688770833415,0.6129913332644352
1,0.1570122389970322,0.096827431754141,0.6166871600115912
1,0.1543903436920202,0.09511343685675872,0.6160581975676678
1,0.15417455804252478,0.09863787064096179,0.6397804663319046
1,0.15318877818450216,0.1062643267986146,0.6936821878077044
1,0.153793444022674,0.1104462273211339,0.7181465245348863
1,0.1549470624166505,0.11261969125575969,0.7268268884822541
1,0.15499263419165568,0.10956402832210915,0.7068982916093166
1,0.1538780771944406,0.10533625069626219,0.6845435855242662
1,0.15369134294110254,0.10293288875944408,0.6697377144976209
1,0.1543058030689639,0.10465278476857492,0.6782167791952869
1,0.15412663170362487,0.10703089473458224,0.6944347874960082
1,0.15134642779217586,0.10504664476103426,0.6940807675043444
1,0.14947495470805391,0.1063528780778534,0.7115096859241461
1,0.14945311218051985,0.11118099785147285,0.7439189203178367
1,0.15005403034412776,0.11481583014950805,0.7651632541038327
1,0.14923680350190205,0.11422651315185592,0.7654044476394865
1,0.14876375950579657,0.11481452606116166,0.7717909687317893
1,0.14867010413866505,0.11648452635867497,0.7835100878790635
1,0.15220001753275686,0.11491931283984086,0.7550545308912835
1,0.1527002945874232,0.11149872723790266,0.7301801711591851
1,0.1486667605374364,0.10583992525945231,0.7119272988584446
1,0.14189298881964904,0.10002204019619737,0.7049117861864823
1,0.13805274559699535,0.09653734269748777,0.6992786871425241
1,0.13231900648458042,0.09855539321718428,0.7448317202160165
1,0.13452323357737656,0.10985475019083793,0.8166228782156836
1,0.13573917583337328,0.11754463518572947,0.8659595467856787
1,0.15816366104194807,0.13286438154479502,0.8400436653369879
1,0.18095843496115166,0.14611431788487214,0.8074468477594875
1,0.17661382149386873,0.1480178949487335,0.8380878330854306
1,0.17695702274387612,0.14846180246413174,0.8389709555580184
1,0.1771921180439438,0.14883694201782163,0.8399749585978195
1,0.17695201171578911,0.14568011468724784,0.8232747018509825
1,0.17538125903292628,0.14196302425699645,0.8094537867945408
1,0.17432115466286055,0.14014397814581833,0.8039413140468159
1,0.17405400194707707,0.13656062227578358,0.7845876610025103
1,0.17356806107413666,0.13284439654568972,0.7653735124053006
1,0.17056432512299033,0.1304766052361098,0.7649700788369777
1,0.1628349176372894,0.12171869068573728,0.7474974805886692
1,0.16195099096438678,0.11922901960573806,0.7362043226518858
1,0.1593436541133338,0.11595703207014538,0.7277166619241109
1,0.15673936241636546,0.11470101897757415,0.7317945997054661
1,0.15711267303891094,0.11556832361978603,0.7355760766107269
1,0.15772319208378058,0.11561898469375664,0.7330499919906598
1,0.15727635244891938,0.11499187483567624,0.7311453568521917
1,0.15612602294516267,0.11526456199811332,0.7382789865761108
1,0.1561124318748073,0.11600444862317028,0.7430827079562683
1,0.15647636895317965,0.11763514859940645,0.751775807339988
1,0.15728317400500366,0.11914442869380504,0.7575154141409601
1,0.1568260528800975,0.11875936934743986,0.7572681143625939
1,0.15609586159202854,0.11869482887075333,0.7603970256493642
1,0.15449168318033535,0.11818712387267215,0.765006383772222
1,0.15403857082589062,0.11810106556373048,0.7666980090150265
1,0.15382835459917965,0.1180739161227601,0.7675692588041878
1,0.15309376847339878,0.11808585672917461,0.7713302631889484
1,0.15259210695671024,0.11808175019426036,0.7738391752317809
1,0.15276198779553843,0.11807590328592489,0.7729403432741494
1,0.15247777785519126,0.11809865566771875,0.7745302779784573
1,0.15236147711322673,0.11805783945760208,0.7748536027244468
1,0.15234190048653357,0.11790968885032592,0.7739806873470683
1,0.15232482712187562,0.1178238924999773,0.773504193152348
1,0.15210521838706928,0.1168714371218369,0.7683591553343598
1,0.15223050575215483,0.11649488111363893,0.7652531963816979
1,0.15392456490234746,0.11627577643541473,0.755407536861853
1,0.15641234355979985,0.11598385625570107,0.7415262351807798
1,0.16243962379704158,0.11643042574550745,0.7167612373381275
1,0.165786015231654,0.11533143509938476,0.6956644379095022
1,0.1724351194423378,0.11390656658168054,0.6605763776547319
1,0.176072840028811,0.11223486726571268,0.6374342984832162
1,0.17778843656643917,0.11047282831151994,0.6213724044433929
1,0.1796923791375104,0.11213642153519714,0.6240466183008475
1,0.18771097908575676,0.117757997710672,0.6273367614628105
1,0.18834720687831874,0.1197671492955482,0.6358849238094807
1,0.18943698423517258,0.12122325280459408,0.6399133373771618
1,0.18923618330134845,0.12302031327158147,0.6500887469056499
1,0.18876366988352797,0.12706661358056182,0.673151849924115
1,0.17288442828858047,0.1255526115227459,0.7262227880533705
1,0.16520329187676555,0.12394156494135454,0.7502366540844085
1,0.16363889237663828,0.11530341239869757,0.704621075858362
1,0.16492544642072213,0.1152272005828886,0.6986623537094809
1,0.16313173447224083,0.11322726057095468,0.6940848200827651
1,0.16403530504013666,0.11789024524611086,0.7186882434684723
1,0.166769799750963,0.11518025512836715,0.6906541550110726
1,0.17661120227168878,0.11248490492251158,0.636906965558567
1,0.17390857292978826,0.11228446251148719,0.6456522563543751
1,0.15950957559351472,0.10936943089593368,0.685660597421716
1,0.1708851320453795,0.11217042078879441,0.6564083103438568
1,0.18990844462291082,0.12355798681972022,0.6506187076886523
1,0.19922986321631214,0.12814920051579165,0.6432228504652173
1,0.20844226568568947,0.1295505791484363,0.6215178036098776
1,0.2014472457663641,0.13107368029798744,0.6506600762862005
1,0.20057354301167651,0.12846846479233376,0.6405055365894139
1,0.19673717096768883,0.123495502350366,0.6277181975471646
1,0.19595125588058293,0.12035309485573605,0.6141991502676661
1,0.1894973443118511,0.11801658072322932,0.6227875179559896
