class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
up,0.3479878604412079,0.48899170756340027,-0.6785498857498169,0.9995941519737244,0.3443625271320343,0.47112175822257996,-0.706028163433075,0.999301016330719,0.34725221991539,0.46727946400642395,-0.7060391902923584,0.9994617104530334,0.35053983330726624,0.46288955211639404,-0.7061812877655029,0.9995805621147156,0.33905941247940063,0.47457417845726013,-0.6649623513221741,0.9989250898361206,0.33807164430618286,0.4735146760940552,-0.665087103843689,0.9990929961204529,0.3371538817882538,0.47225427627563477,-0.6651540994644165,0.9995356202125549,0.37065383791923523,0.439644455909729,-0.7222956418991089,0.9991129040718079,0.35279783606529236,0.44974514842033386,-0.5371523499488831,0.9987370371818542,0.3660134971141815,0.4899842143058777,-0.6730597615242004,0.999032199382782,0.35936790704727173,0.49450454115867615,-0.6193838119506836,0.9986403584480286,0.46078571677207947,0.46873536705970764,-0.724811851978302,0.9998338222503662,0.3837333023548126,0.47041770815849304,-0.34478330612182617,0.9998745918273926,0.4746505320072174,0.6515632271766663,-0.802071750164032,0.9966995120048523,0.40234869718551636,0.6147728562355042,-0.2884630858898163,0.8696707487106323,0.482412725687027,0.8172537088394165,-0.854758620262146,0.9944546222686768,0.4051440358161926,0.7529990673065186,-0.3765774667263031,0.9211738705635071,0.47329744696617126,0.8430457711219788,-0.9531615376472473,0.9879714250564575,0.3879777491092682,0.7728627920150757,-0.406810998916626,0.9029622077941895,0.4628531038761139,0.8387149572372437,-0.9354928731918335,0.9873975515365601,0.3912768065929413,0.776088297367096,-0.46737438440322876,0.9080684185028076,0.46540626883506775,0.8282249569892883,-0.8554970622062683,0.9707231521606445,0.40175122022628784,0.7704569697380066,-0.4057820737361908,0.8950037956237793,0.5810936689376831,0.5128573775291443,-0.12288496643304825,0.9975119233131409,0.538920521736145,0.5205305814743042,0.12257542461156845,0.9899038076400757,0.6548585295677185,0.5784638524055481,0.20406505465507507,0.8176301121711731,0.6173157095909119,0.5784117579460144,0.4758850932121277,0.17980247735977173,0.7255584001541138,0.6282895803451538,0.6141632199287415,0.9293622970581055,0.6886049509048462,0.6260231137275696,0.9087677001953125,0.3897192180156708,0.7419561147689819,0.6216200590133667,0.6501659750938416,0.8514531254768372,0.7024263739585876,0.6158401370048523,0.9531031847000122,0.5115741491317749,0.7164615392684937,0.6943530440330505,0.5592113733291626,0.9164994359016418,0.6861776113510132,0.6869558095932007,0.9002047777175903,0.7258875370025635
up,0.3479030728340149,0.4887804388999939,-0.6790205240249634,0.9995957612991333,0.34432581067085266,0.47088754177093506,-0.7065738439559937,0.9993035793304443,0.347229540348053,0.46704551577568054,-0.7065848708152771,0.9994640350341797,0.35052937269210815,0.4626629054546356,-0.7067272067070007,0.9995827078819275,0.33900126814842224,0.4743172526359558,-0.6653858423233032,0.9989285469055176,0.3380209505558014,0.473245769739151,-0.6655091643333435,0.9990957379341125,0.3371107876300812,0.47197771072387695,-0.6655755043029785,0.99953693151474,0.37062329053878784,0.4395691752433777,-0.7231023907661438,0.9991194605827332,0.3527417778968811,0.44957369565963745,-0.5374304056167603,0.9987413287162781,0.3659442663192749,0.4898245930671692,-0.6736305356025696,0.99903804063797,0.3592967391014099,0.494310587644577,-0.6197961568832397,0.9986454248428345,0.46078604459762573,0.46878257393836975,-0.7260014414787292,0.9998352527618408,0.3837352395057678,0.47023096680641174,-0.34478574991226196,0.9998747706413269,0.47465214133262634,0.6515790224075317,-0.8034995794296265,0.9966912865638733,0.4023410677909851,0.6147719025611877,-0.2884618937969208,0.8692687153816223,0.482415109872818,0.8172212839126587,-0.8564928770065308,0.9944751262664795,0.4051440358161926,0.7529836893081665,-0.3765723705291748,0.9210556149482727,0.47330179810523987,0.8430260419845581,-0.955062210559845,0.9880372881889343,0.38797909021377563,0.7728497385978699,-0.4068012237548828,0.9029287099838257,0.4628586173057556,0.8387017846107483,-0.9373030662536621,0.987459659576416,0.3912762999534607,0.7760742902755737,-0.46737590432167053,0.9079898595809937,0.46541351079940796,0.8282131552696228,-0.8572044372558594,0.9708507061004639,0.40174856781959534,0.7704432606697083,-0.4057815670967102,0.8949130177497864,0.581092894077301,0.5128782987594604,-0.12295037508010864,0.9975196123123169,0.5389279723167419,0.5205299258232117,0.12264041602611542,0.9899489879608154,0.6548395156860352,0.5784702897071838,0.20458662509918213,0.8167837262153625,0.6173292398452759,0.5784532427787781,0.4769152104854584,0.1793501079082489,0.7255668044090271,0.6282851696014404,0.6158281564712524,0.9293246269226074,0.6881375312805176,0.6252087354660034,0.9108657836914062,0.38974860310554504,0.7419620752334595,0.6216245293617249,0.6519407033920288,0.8512474298477173,0.7024873495101929,0.6158707141876221,0.955315113067627,0.5120523571968079,0.7164310812950134,0.6943406462669373,0.560815691947937,0.9163405895233154,0.686181902885437,0.686978280544281,0.9023326635360718,0.7256531119346619
up,0.3478415608406067,0.48864445090293884,-0.679400622844696,0.9995978474617004,0.34429681301116943,0.47073453664779663,-0.706989586353302,0.9993069767951965,0.3472108542919159,0.4668983221054077,-0.7070004343986511,0.9994668960571289,0.3505198061466217,0.4625263810157776,-0.7071426510810852,0.9995851516723633,0.3389539122581482,0.47415152192115784,-0.6657439470291138,0.9989334344863892,0.33797839283943176,0.4730776846408844,-0.665866494178772,0.9990997314453125,0.3370733857154846,0.471810907125473,-0.6659324765205383,0.9995388984680176,0.3705970346927643,0.4395393431186676,-0.7236006855964661,0.9991262555122375,0.35269397497177124,0.4494975805282593,-0.5376975536346436,0.9987470507621765,0.36590173840522766,0.48973172903060913,-0.6740504503250122,0.9990444779396057,0.359247624874115,0.4941994249820709,-0.6201432943344116,0.9986519813537598,0.4607883095741272,0.4688934087753296,-0.7265959978103638,0.9998365044593811,0.3837355077266693,0.4701111614704132,-0.34483274817466736,0.9998750686645508,0.47465354204177856,0.6516062617301941,-0.8041189312934875,0.9966846704483032,0.4023309648036957,0.6147850155830383,-0.28850576281547546,0.8689300417900085,0.4824163317680359,0.8171648383140564,-0.8572421073913574,0.9944964051246643,0.4051430821418762,0.7529690861701965,-0.37658214569091797,0.9209959506988525,0.4733046889305115,0.8429975509643555,-0.9558679461479187,0.9881026148796082,0.3879792094230652,0.7728407382965088,-0.4068080484867096,0.9029493927955627,0.46286264061927795,0.8386831283569336,-0.9381157755851746,0.9875220656394958,0.3912746012210846,0.7760649919509888,-0.4673927426338196,0.9079642295837402,0.46541938185691833,0.8281921744346619,-0.8579633831977844,0.9709793329238892,0.40174299478530884,0.770433247089386,-0.40579915046691895,0.8948817849159241,0.5810917615890503,0.5129077434539795,-0.12298878282308578,0.9975255727767944,0.5389312505722046,0.5205320715904236,0.1226782575249672,0.9899891018867493,0.6548181176185608,0.5784763097763062,0.20497918128967285,0.8161214590072632,0.6173391938209534,0.5784909129142761,0.4774650037288666,0.17893405258655548,0.7255731821060181,0.62828129529953,0.6166146993637085,0.9293401837348938,0.6877990365028381,0.6246776580810547,0.9116504788398743,0.38980361819267273,0.7419663071632385,0.6216272711753845,0.6527512669563293,0.8511684536933899,0.7025251388549805,0.6158987879753113,0.9561179876327515,0.5125225782394409,0.7163981795310974,0.6943267583847046,0.5615984797477722,0.9162282347679138,0.6861861944198608,0.6869908571243286,0.9031472206115723,0.7254126071929932
up,0.3477059006690979,0.4883510172367096,-0.6793873310089111,0.9995995163917542,0.34421736001968384,0.47041836380958557,-0.7069717645645142,0.999309778213501,0.3471466898918152,0.46658855676651,-0.7069826722145081,0.9994692802429199,0.35047146677970886,0.46223127841949463,-0.7071248292922974,0.9995871782302856,0.3388560712337494,0.4738221764564514,-0.6657272577285767,0.9989378452301025,0.3378921449184418,0.4727465510368347,-0.6658498048782349,0.999103307723999,0.33699971437454224,0.47148385643959045,-0.6659157872200012,0.9995406270027161,0.37052229046821594,0.4394229054450989,-0.7235813736915588,0.9991322755813599,0.352614164352417,0.44931650161743164,-0.5376901030540466,0.9987521767616272,0.36575809121131897,0.48952677845954895,-0.6740437150001526,0.9990494847297668,0.35912081599235535,0.4939405024051666,-0.6201364994049072,0.9986570477485657,0.46078723669052124,0.46891307830810547,-0.7265985012054443,0.9998373985290527,0.38373398780822754,0.4699307978153229,-0.34474557638168335,0.9998751878738403,0.47465458512306213,0.6516038179397583,-0.804054856300354,0.9966714978218079,0.4023253321647644,0.6147939562797546,-0.28840821981430054,0.8683971762657166,0.48241692781448364,0.8171109557151794,-0.8570654988288879,0.9945113062858582,0.4051412045955658,0.7529348731040955,-0.3763231039047241,0.9208824038505554,0.47330695390701294,0.8429728150367737,-0.9556161165237427,0.9881572127342224,0.3879815340042114,0.7728237509727478,-0.40644583106040955,0.9029002785682678,0.4628656804561615,0.8386685848236084,-0.9378829002380371,0.9875739812850952,0.39127427339553833,0.7760471105575562,-0.4670460820198059,0.907872200012207,0.465423047542572,0.8281747698783875,-0.8577826619148254,0.9710851311683655,0.40173977613449097,0.7704103589057922,-0.40554389357566833,0.8947784900665283,0.5810821056365967,0.5129203796386719,-0.12300112098455429,0.9975340366363525,0.538932204246521,0.5205170512199402,0.12269005924463272,0.9900495409965515,0.6547932028770447,0.5784816741943359,0.2051454484462738,0.8154177665710449,0.6173427700996399,0.5785030722618103,0.47755861282348633,0.178519606590271,0.7255820631980896,0.6282778978347778,0.616539716720581,0.9294041991233826,0.6876024007797241,0.6242762207984924,0.91132652759552,0.3901650905609131,0.7419738173484802,0.6216385960578918,0.6526364684104919,0.851172149181366,0.7025929689407349,0.615920901298523,0.9557353258132935,0.5132049918174744,0.7163619995117188,0.6943058371543884,0.5614994168281555,0.9161619544029236,0.6861873865127563,0.6870021224021912,0.9027482271194458,0.7253315448760986
up,0.347584068775177,0.4879980683326721,-0.6791650056838989,0.9996011853218079,0.3441562056541443,0.47001415491104126,-0.7067189812660217,0.9993128180503845,0.34709811210632324,0.46619096398353577,-0.7067297101020813,0.9994718432426453,0.3504345417022705,0.46185654401779175,-0.7068713307380676,0.9995893239974976,0.33878159523010254,0.4733957052230835,-0.6654804944992065,0.998942494392395,0.33782896399497986,0.47230634093284607,-0.6656023859977722,0.999107301235199,0.3369487226009369,0.4710361361503601,-0.6656680703163147,0.9995424747467041,0.37044426798820496,0.4392864406108856,-0.7233142256736755,0.9991388916969299,0.3525591194629669,0.449054092168808,-0.5374830365180969,0.9987586736679077,0.36561140418052673,0.48927757143974304,-0.6738458275794983,0.9990551471710205,0.3590034246444702,0.4936178922653198,-0.6199527382850647,0.998663067817688,0.4607798457145691,0.46892791986465454,-0.7265833616256714,0.9998384118080139,0.3837333619594574,0.4697657525539398,-0.34433966875076294,0.9998752474784851,0.4746555685997009,0.6516048908233643,-0.8039673566818237,0.9966582655906677,0.4023166596889496,0.6147958040237427,-0.2880017161369324,0.8677233457565308,0.48241838812828064,0.8170827031135559,-0.8570131063461304,0.9945279359817505,0.40513643622398376,0.7529132962226868,-0.37551701068878174,0.9206817746162415,0.4733108580112457,0.8429556488990784,-0.9554798007011414,0.9882156848907471,0.38798192143440247,0.7728109955787659,-0.40540987253189087,0.9027552008628845,0.46287280321121216,0.8386582732200623,-0.937663197517395,0.9876300692558289,0.3912722170352936,0.7760335803031921,-0.4660275876522064,0.907690703868866,0.46543270349502563,0.8281645178794861,-0.8576751947402954,0.9712019562721252,0.4017309248447418,0.7703934907913208,-0.40473097562789917,0.8945749402046204,0.581076979637146,0.512927770614624,-0.12300856411457062,0.9975422024726868,0.5389372110366821,0.5205005407333374,0.12269715219736099,0.9901071190834045,0.6547743678092957,0.578486442565918,0.20523402094841003,0.8148613572120667,0.6173499226570129,0.5785117745399475,0.4775853157043457,0.17814330756664276,0.7255853414535522,0.62827467918396,0.6164149045944214,0.9294960498809814,0.6874536871910095,0.6239215135574341,0.911068320274353,0.3905428946018219,0.7419768571853638,0.621645987033844,0.6524873375892639,0.8512330651283264,0.702647864818573,0.6159318685531616,0.9554471969604492,0.5139518976211548,0.7163137197494507,0.6942768096923828,0.5613913536071777,0.9160994291305542,0.6861881017684937,0.6870096921920776,0.9024530649185181,0.7252810001373291
up,0.34746676683425903,0.4878527522087097,-0.6771103143692017,0.9996038675308228,0.3440799415111542,0.46987777948379517,-0.7046130895614624,0.999317467212677,0.3470330834388733,0.46606531739234924,-0.7046237587928772,0.9994756579399109,0.3503822386264801,0.4617430865764618,-0.7047642469406128,0.9995923042297363,0.3386911153793335,0.4732416272163391,-0.6634493470191956,0.9989493489265442,0.33774638175964355,0.47215160727500916,-0.6635711193084717,0.9991135597229004,0.33687451481819153,0.4708825647830963,-0.6636370420455933,0.9995455145835876,0.3703835606575012,0.4392460584640503,-0.7214432954788208,0.9991466999053955,0.35248374938964844,0.4489670693874359,-0.5360089540481567,0.9987692832946777,0.36549538373947144,0.4891878664493561,-0.6719551086425781,0.9990628957748413,0.3588929772377014,0.49349895119667053,-0.6181755065917969,0.9986725449562073,0.460778146982193,0.46900370717048645,-0.7249249219894409,0.9998391270637512,0.38373100757598877,0.46957769989967346,-0.34333884716033936,0.9998752474784851,0.47465652227401733,0.6516180634498596,-0.8013525009155273,0.9966506361961365,0.4023128151893616,0.6148006916046143,-0.2870580554008484,0.8670770525932312,0.48242026567459106,0.8170735836029053,-0.8535699844360352,0.9945462346076965,0.4051327109336853,0.7528883218765259,-0.37419575452804565,0.9204806685447693,0.4733169674873352,0.8429460525512695,-0.9515889883041382,0.9882684946060181,0.38798218965530396,0.7727959156036377,-0.4039745330810547,0.9025928974151611,0.46288007497787476,0.8386507630348206,-0.9338194131851196,0.9876819849014282,0.39127010107040405,0.7760155200958252,-0.46448755264282227,0.9075098633766174,0.4654426574707031,0.8281592130661011,-0.8542014360427856,0.9713190793991089,0.40172308683395386,0.7703694701194763,-0.40334969758987427,0.8943901062011719,0.581076979637146,0.51295405626297,-0.12299754470586777,0.9975523352622986,0.5389510989189148,0.5204492807388306,0.1226857453584671,0.9901629090309143,0.6547654867172241,0.5784907937049866,0.20521411299705505,0.814395010471344,0.6173573732376099,0.5785238146781921,0.4771660268306732,0.1777254343032837,0.7255909442901611,0.6282712817192078,0.615583062171936,0.9296062588691711,0.6873636245727539,0.6236140727996826,0.9090188145637512,0.3907402753829956,0.7419821619987488,0.621652364730835,0.6515165567398071,0.8513930439949036,0.7027119994163513,0.6159444451332092,0.9531883001327515,0.5145198702812195,0.7162711024284363,0.6942535042762756,0.5606638193130493,0.9160287380218506,0.6861957311630249,0.6870166063308716,0.9005792737007141,0.7251421213150024
up,0.34736621379852295,0.4876740574836731,-0.6753102540969849,0.9996062517166138,0.3440226912498474,0.4696953594684601,-0.7027353644371033,0.9993215799331665,0.34698721766471863,0.4658912122249603,-0.7027455568313599,0.9994790554046631,0.3503478467464447,0.46158063411712646,-0.7028850317001343,0.9995949268341064,0.3386196196079254,0.4730391502380371,-0.6616759300231934,0.9989556074142456,0.33768171072006226,0.47194311022758484,-0.661797821521759,0.9991194009780884,0.3368177115917206,0.4706707000732422,-0.6618636250495911,0.9995483160018921,0.37033766508102417,0.43918368220329285,-0.7195903062820435,0.9991537928581238,0.35242801904678345,0.44884297251701355,-0.5346839427947998,0.998779296875,0.36539149284362793,0.48907196521759033,-0.6702257394790649,0.9990697503089905,0.3587949872016907,0.49334269762039185,-0.6165985465049744,0.9986811280250549,0.46077173948287964,0.46903449296951294,-0.7231361269950867,0.9998396635055542,0.3837279677391052,0.46942245960235596,-0.34242624044418335,0.9998752474784851,0.47465747594833374,0.6516199111938477,-0.7986451387405396,0.9966410994529724,0.40230435132980347,0.614806056022644,-0.2861010730266571,0.8663487434387207,0.4824225902557373,0.8170574903488159,-0.8501332998275757,0.9945627450942993,0.4051281809806824,0.7528613209724426,-0.3728431463241577,0.9202333688735962,0.47332167625427246,0.842927873134613,-0.947773814201355,0.9883179068565369,0.387982577085495,0.7727831602096558,-0.4024648666381836,0.9023823738098145,0.46288713812828064,0.8386379480361938,-0.9300373196601868,0.9877312779426575,0.39126867055892944,0.7759992480278015,-0.4628767967224121,0.9072828888893127,0.46545296907424927,0.8281508684158325,-0.8507353663444519,0.9714300632476807,0.4017159044742584,0.7703474164009094,-0.4019295573234558,0.8941497206687927,0.5810710787773132,0.512964129447937,-0.1229543462395668,0.9975601434707642,0.5389593839645386,0.5203997492790222,0.1226419061422348,0.9902142286300659,0.6547528505325317,0.5784929394721985,0.2051139771938324,0.8140203952789307,0.6173624992370605,0.5785341858863831,0.47635793685913086,0.17739561200141907,0.7255937457084656,0.6282684803009033,0.6139813661575317,0.9297544360160828,0.6873122453689575,0.6233999729156494,0.9059869647026062,0.3911428153514862,0.7419841289520264,0.6216577887535095,0.6497153639793396,0.8515999913215637,0.702772855758667,0.6159551739692688,0.9499027132987976,0.5151706337928772,0.7162374258041382,0.6942391991615295,0.5591286420822144,0.9159684777259827,0.6862009167671204,0.6870222091674805,0.897492527961731,0.7250672578811646
up,0.3472945988178253,0.48760244250297546,-0.6743427515029907,0.9996092319488525,0.3439778685569763,0.46964266896247864,-0.7017828822135925,0.9993268847465515,0.3469504415988922,0.4658445119857788,-0.7017929553985596,0.9994834661483765,0.35031944513320923,0.4615394175052643,-0.7019321322441101,0.9995982050895691,0.3385603129863739,0.47297900915145874,-0.6607229709625244,0.9989633560180664,0.33762386441230774,0.4718841314315796,-0.6608450412750244,0.9991265535354614,0.33676204085350037,0.47061312198638916,-0.660910964012146,0.9995515942573547,0.3703055679798126,0.43917056918144226,-0.7187482714653015,0.9991624355316162,0.35237473249435425,0.4488113522529602,-0.5338882803916931,0.9987910389900208,0.36533111333847046,0.489032119512558,-0.6693094968795776,0.9990782141685486,0.35872718691825867,0.4932904541492462,-0.6156937479972839,0.9986914992332458,0.4607669413089752,0.46912992000579834,-0.722407877445221,0.9998406171798706,0.3837240934371948,0.46933549642562866,-0.34182414412498474,0.9998754858970642,0.47465839982032776,0.6516345143318176,-0.7977259159088135,0.9966397881507874,0.40229693055152893,0.6148144602775574,-0.2854233384132385,0.865623950958252,0.4824269711971283,0.8170447945594788,-0.8489610552787781,0.9945847988128662,0.40512615442276,0.7528360486030579,-0.372140109539032,0.9199643731117249,0.4733303189277649,0.842911958694458,-0.9465869069099426,0.9883734583854675,0.38798463344573975,0.7727660536766052,-0.40175026655197144,0.9021562933921814,0.46289509534835815,0.8386242985725403,-0.9289067387580872,0.9877861738204956,0.39126789569854736,0.7759800553321838,-0.4621616005897522,0.9070410132408142,0.46546369791030884,0.8281422853469849,-0.8495790362358093,0.971549391746521,0.40171104669570923,0.7703226208686829,-0.4012240767478943,0.893900990486145,0.5810725092887878,0.5129945278167725,-0.12295050919055939,0.9975699186325073,0.5389773845672607,0.5203472971916199,0.1226378083229065,0.990268886089325,0.6547466516494751,0.5784959197044373,0.20510251820087433,0.81352698802948,0.6173731088638306,0.5785409212112427,0.476179301738739,0.17689749598503113,0.7255991101264954,0.6282657384872437,0.6135296821594238,0.9298543334007263,0.6872807741165161,0.623177170753479,0.9053635597229004,0.3913126289844513,0.741986870765686,0.6216623187065125,0.6492196321487427,0.8518766760826111,0.7028614282608032,0.6159650087356567,0.9492589235305786,0.5158108472824097,0.7162057161331177,0.69422447681427,0.558823823928833,0.9158456325531006,0.6862086653709412,0.6870272159576416,0.8970463871955872,0.7248056530952454
up,0.3470718562602997,0.48741278052330017,-0.6714484691619873,0.9996130466461182,0.3438376784324646,0.46943819522857666,-0.6988419890403748,0.9993333220481873,0.3468291461467743,0.465652734041214,-0.6988517045974731,0.9994889497756958,0.3502137362957001,0.4613684415817261,-0.69898921251297,0.9996022582054138,0.33838918805122375,0.4727412760257721,-0.6578764319419861,0.99897301197052,0.33746466040611267,0.4716287851333618,-0.6579977869987488,0.999135434627533,0.336616188287735,0.4703417718410492,-0.6580642461776733,0.9995555281639099,0.37013763189315796,0.4391327500343323,-0.7158123254776001,0.9991737604141235,0.3522249758243561,0.4486393332481384,-0.5314830541610718,0.9988059401512146,0.365125447511673,0.48891857266426086,-0.6664686799049377,0.9990888833999634,0.35851985216140747,0.4931192100048065,-0.6130070090293884,0.998704731464386,0.46068763732910156,0.46922731399536133,-0.7199862599372864,0.9998418688774109,0.38368549942970276,0.46901944279670715,-0.3398224115371704,0.9998756647109985,0.4746429920196533,0.6517866253852844,-0.7943631410598755,0.9966376423835754,0.40227237343788147,0.614825963973999,-0.28291982412338257,0.8643617630004883,0.4824284613132477,0.8170387148857117,-0.8448553085327148,0.9946188926696777,0.40512293577194214,0.7527883648872375,-0.36880093812942505,0.9194509983062744,0.4733337461948395,0.8429011106491089,-0.942061722278595,0.9884560704231262,0.38798829913139343,0.7727360129356384,-0.39808768033981323,0.9016798138618469,0.4628986418247223,0.8386125564575195,-0.9245895147323608,0.9878690838813782,0.3912692666053772,0.7759441137313843,-0.4583963453769684,0.9065495729446411,0.465468168258667,0.8281329870223999,-0.8454650640487671,0.9717260599136353,0.4017082154750824,0.7702812552452087,-0.39780953526496887,0.8933621644973755,0.5810732245445251,0.5130866765975952,-0.12287839502096176,0.997586190700531,0.538995623588562,0.5203220844268799,0.12256401777267456,0.990352988243103,0.6547415852546692,0.5784988403320312,0.20513272285461426,0.812979519367218,0.6173696517944336,0.5785419940948486,0.47575250267982483,0.17652706801891327,0.7256149649620056,0.6282631158828735,0.6129233241081238,0.930069625377655,0.6872262954711914,0.6230648756027222,0.9034622311592102,0.3919682800769806,0.7420052289962769,0.6216855645179749,0.6485220789909363,0.8522632718086243,0.7029211521148682,0.6159707307815552,0.9472044706344604,0.5167967081069946,0.7161863446235657,0.6942174434661865,0.5584052801132202,0.9157279133796692,0.686213493347168,0.6870315670967102,0.8954731822013855,0.7246254682540894
up,0.3469105362892151,0.48733222484588623,-0.6703495383262634,0.9996159672737122,0.3437235355377197,0.46936190128326416,-0.6977423429489136,0.9993382096290588,0.34672462940216064,0.46558263897895813,-0.6977516412734985,0.9994931817054749,0.35011908411979675,0.4613073170185089,-0.6978882551193237,0.9996052980422974,0.33826351165771484,0.4726506173610687,-0.6567878127098083,0.9989803433418274,0.33734744787216187,0.47153180837631226,-0.6569090485572815,0.9991422891616821,0.3365080952644348,0.47023776173591614,-0.6569761037826538,0.9995585083961487,0.37000635266304016,0.43912431597709656,-0.7147606015205383,0.9991825222969055,0.35211536288261414,0.4485588073730469,-0.5305060148239136,0.9988178014755249,0.3649681806564331,0.48886653780937195,-0.6653991937637329,0.9990969896316528,0.3583652377128601,0.4930380582809448,-0.6119583249092102,0.9987146258354187,0.4606347978115082,0.46931517124176025,-0.7189423441886902,0.999842643737793,0.3836550712585449,0.4687557518482208,-0.33905690908432007,0.9998756647109985,0.47463172674179077,0.6517934203147888,-0.793204665184021,0.9966310262680054,0.4022354483604431,0.6148304343223572,-0.28199344873428345,0.863304615020752,0.4824299216270447,0.8170188665390015,-0.8436766862869263,0.9946416616439819,0.40511780977249146,0.7527345418930054,-0.36786097288131714,0.9190772175788879,0.4733359217643738,0.8428857326507568,-0.9408227205276489,0.9885154366493225,0.38798993825912476,0.7727031111717224,-0.39717137813568115,0.9013440608978271,0.46290260553359985,0.8385936617851257,-0.9234085083007812,0.9879277348518372,0.3912692368030548,0.7759049534797668,-0.45743265748023987,0.9061954021453857,0.465473473072052,0.8281120657920837,-0.8443014025688171,0.9718503952026367,0.40170615911483765,0.7702350616455078,-0.3968510031700134,0.8929710984230042,0.5810695886611938,0.5131121873855591,-0.12281964719295502,0.9975997805595398,0.5389999151229858,0.5202897191047668,0.1225036159157753,0.9904277920722961,0.6547344326972961,0.5785006284713745,0.20520618557929993,0.8124461770057678,0.617365300655365,0.5785316824913025,0.47546905279159546,0.17614887654781342,0.7256256937980652,0.628260612487793,0.6127046346664429,0.9302717447280884,0.6871670484542847,0.6229457855224609,0.9025994539260864,0.3925320506095886,0.7420198321342468,0.6217049360275269,0.6482690572738647,0.8525938987731934,0.7029432058334351,0.6159791350364685,0.9462994337081909,0.5175858736038208,0.7161713242530823,0.6942101716995239,0.5582118034362793,0.9156211018562317,0.6862155199050903,0.6870353817939758,0.89459228515625,0.7244179248809814
